"Display / Hide Comments","Afficher / Masquer les commentaires"
"Select","S&eacute;lectionner"
"All Tasks/Events","Toutes les t&acirc;ches"
"Late Tasks/Events","T&acirc;ches en retard"
"My Tasks","Mes T&acirc;ches"
"Author","Auteur"
"Target","Cible"
"Show/Hide","Afficher/Masquer"
"Show / Hide New Task","Afficher/Masquer Nouvelle T&acirc;che"
"Notification Date","Date de Notification"
"Created at ","Cr&eacute;&eacute; le"
"Notify","Notifier"
"Organizer","Organizer"
"Entity","Entit&eacute;"
"Created at ","Cr&eacute;&eacute; le "
"Notify Target","Avertir la cible"
"Notification Date","Date de notification"
"Origin","Origine"
"Priority","Priorit&eacute;"
"Target","Cible"
"Notify","Notifier"
"Dead line","Date limite"
"Category","Cat&eacute;gorie"
"Complete","Termin&eacute;e"
"Caption","Libell&eacute;"
"Description","Description"
"Show / Hide New Task","Afficher / Masquer nouvelle tache"
"My Dashboard","Mon tableau de bord"
"My dashboard","Mon tableau de bord"
"Email Sender","Identit&eacute;e de e-mail d'envoi"
"Email Template","Template de l'e-mail"
"Save","Enregistrer"
"Back","Retour"
"Misc","Divers"
"Delete","Supprimer"
"Task deleted","Tache supprimee"
"Task saved","Tache enregistree"
"Order","Commande"
"Rma","Retour"
"PO","BC"
"Credit Memo","Avoir"

