"Executed At","Eseguito a"
"Result","Risultato"
"Result description","Risultato descrizione"
"Tasks successfully performed","Compiti svolte con successo"
"Tasks successfully deleted","Compiti eliminato con successo"
"Group Tasks successfully deleted","Attività di gruppo eliminato con successo"
"Background Tasks","Compiti in sottofondo"
"Clear all Tasks","Cancella tutti i compiti"
"Clear group Tasks","Clear Attività di gruppo"
"Please wait until tasks are complete...","Si prega di attendere finche i compiti sono complete ..."
"General","Generale"
"Max Execution Time","Max Tempo di esecuzione"
"Delete failed Tasks ?","Eliminazione compiti non riuscita?"
"History Duration","Durata del storico"
"Developper Email Address","Indirizzo e-mail sviluppatore"
"Debug Mode","Modalità Debug "
"Immediate Mode","Modalità Immediata"
"Store stack trace","Tracce nel negozio"
"Replay","Replay"
